,phone,sum,threshold
0,265,265,0.89
1,265,265,0.9
2,265,265,0.91
3,264,264,0.92
4,264,264,0.93
5,263,263,0.94
6,261,261,0.95
7,257,257,0.96
8,253,253,0.97
9,249,249,0.98
