,phone,sum,threshold
0,168,168,0.89
1,155,155,0.9
2,145,145,0.91
3,131,131,0.92
4,120,120,0.93
5,111,111,0.94
6,102,102,0.95
7,92,92,0.96
8,79,79,0.97
9,54,54,0.98
