,phone,sum,threshold
0,237,237,0.89
1,237,237,0.9
2,237,237,0.91
3,238,238,0.92
4,238,238,0.93
5,239,239,0.94
6,241,241,0.95
7,245,245,0.96
8,248,248,0.97
9,251,251,0.98
