,phone,sum,threshold
0,153249,153249,0.89
1,153262,153262,0.9
2,153272,153272,0.91
3,153286,153286,0.92
4,153297,153297,0.93
5,153306,153306,0.94
6,153315,153315,0.95
7,153325,153325,0.96
8,153339,153339,0.97
9,153365,153365,0.98
