,phone,email,address,url,hobby,sum,threshold
0,10,23,12,16,315,376,0.54
1,10,21,12,12,279,334,0.59
2,10,19,11,11,241,292,0.64
3,9,18,10,10,203,250,0.69
4,9,15,10,7,167,208,0.74
5,8,13,10,6,140,177,0.79
6,7,11,9,5,101,133,0.84
7,6,7,8,4,67,92,0.89
8,2,5,6,3,38,54,0.94
9,1,1,1,2,3,8,0.99
