,phone,email,address,url,hobby,sum,threshold
0,236,437,346,60,28,1107,0.54
1,232,434,343,58,28,1095,0.59
2,231,430,340,58,28,1087,0.64
3,229,429,337,58,27,1080,0.69
4,226,424,335,57,27,1069,0.74
5,223,418,332,55,24,1052,0.79
6,217,413,318,49,22,1019,0.84
7,209,404,292,43,17,965,0.89
8,194,360,238,33,10,835,0.94
9,111,179,8,5,2,305,0.99
