,hobby,phone,email,address,url,sum,threshold
0,472,277,65,167,77,1058,0.54
1,473,279,66,168,78,1064,0.59
2,473,279,69,173,78,1072,0.64
3,473,282,72,174,79,1080,0.69
4,474,285,75,176,79,1089,0.74
5,475,290,83,178,80,1106,0.79
6,478,302,89,187,84,1140,0.84
7,485,307,99,204,91,1186,0.89
8,490,329,131,256,98,1304,0.94
9,498,400,323,491,129,1841,0.99
