,hobby,phone,email,address,url,sum,threshold
0,0.056,0.448207171314741,0.87,0.6744639376218323,0.4420289855072464,0.5085926614026939,0.54
1,0.054,0.4442231075697211,0.868,0.672514619883041,0.43478260869565216,0.5058058522991176,0.59
2,0.054,0.4442231075697211,0.862,0.6627680311890838,0.43478260869565216,0.5020901068276823,0.64
3,0.054,0.43824701195219123,0.856,0.66015625,0.427536231884058,0.49814126394052044,0.69
4,0.052,0.43227091633466136,0.85,0.6555772994129159,0.427536231884058,0.49372384937238495,0.74
5,0.05,0.42231075697211157,0.834,0.6516634050880626,0.42028985507246375,0.48582054858205487,0.79
6,0.044,0.398406374501992,0.822,0.631163708086785,0.391304347826087,0.4690265486725664,0.84
7,0.03,0.3884462151394422,0.802,0.5936254980079682,0.3357664233576642,0.4460532461466604,0.89
8,0.02,0.34462151394422313,0.738,0.488,0.2846715328467153,0.3903693314633006,0.94
9,0.004,0.2,0.354,0.018,0.058394160583941604,0.13851193261581657,0.99
