phone,sum,threshold
153055,153055,0.54
153080,153080,0.59
153106,153106,0.64
153135,153135,0.69
153155,153155,0.74
153186,153186,0.79
153213,153213,0.84
153249,153249,0.89
153262,153262,0.9
153272,153272,0.91
153286,153286,0.92
153297,153297,0.93
153306,153306,0.94
153315,153315,0.95
153325,153325,0.96
153339,153339,0.97
153365,153365,0.98
153392,153392,0.99
