phone,sum,threshold
270,270,0.54
270,270,0.59
270,270,0.64
268,268,0.69
268,268,0.74
268,268,0.79
267,267,0.84
265,265,0.89
265,265,0.9
265,265,0.91
264,264,0.92
264,264,0.93
263,263,0.94
261,261,0.95
257,257,0.96
253,253,0.97
249,249,0.98
229,229,0.99
