phone,sum,threshold
0.9961408273182648,0.9961408273182648,0.54
0.9963032504109304,0.9963032504109304,0.59
0.9964721704273026,0.9964721704273026,0.64
0.9966475873673816,0.9966475873673816,0.69
0.996777525841514,0.996777525841514,0.74
0.9969789304764194,0.9969789304764194,0.79
0.9971478504927916,0.9971478504927916,0.84
0.9973687458988169,0.9973687458988169,0.89
0.997453205907003,0.997453205907003,0.9
0.9975181751440692,0.9975181751440692,0.91
0.9976026351522554,0.9976026351522554,0.92
0.9976741013130282,0.9976741013130282,0.93
0.9977260767026812,0.9977260767026812,0.94
0.9977715551686276,0.9977715551686276,0.95
0.9978105367108674,0.9978105367108674,0.96
0.9978755059479336,0.9978755059479336,0.97
0.9980184382694794,0.9980184382694794,0.98
0.9980639167354258,0.9980639167354258,0.99
