phone,sum,threshold
0.4272151898734177,0.4272151898734177,0.54
0.4448105436573311,0.4448105436573311,0.59
0.4647160068846815,0.4647160068846815,0.64
0.4872727272727272,0.4872727272727272,0.69
0.5056603773584906,0.5056603773584906,0.74
0.5370741482965932,0.5370741482965932,0.79
0.5668789808917197,0.5668789808917197,0.84
0.6120092378752887,0.6120092378752887,0.89
0.6309523809523809,0.6309523809523809,0.9
0.6463414634146342,0.6463414634146342,0.91
0.6683544303797468,0.6683544303797468,0.92
0.6875,0.6875,0.93
0.7032085561497327,0.7032085561497327,0.94
0.71900826446281,0.71900826446281,0.95
0.7363896848137536,0.7363896848137536,0.96
0.7620481927710844,0.7620481927710844,0.97
0.8217821782178217,0.8217821782178217,0.98
0.89453125,0.89453125,0.99
