,phone,sum,threshold
0,232,232,0.54
1,232,232,0.59
2,232,232,0.64
3,234,234,0.69
4,234,234,0.74
5,234,234,0.79
6,235,235,0.84
7,237,237,0.89
8,237,237,0.9
9,237,237,0.91
10,238,238,0.92
11,238,238,0.93
12,239,239,0.94
13,241,241,0.95
14,245,245,0.96
15,248,248,0.97
16,251,251,0.98
17,271,271,0.99
