phone,sum,threshold
0.5378486055776892,0.5378486055776892,0.54
0.5378486055776892,0.5378486055776892,0.59
0.5378486055776892,0.5378486055776892,0.64
0.5338645418326693,0.5338645418326693,0.69
0.5338645418326693,0.5338645418326693,0.74
0.5338645418326693,0.5338645418326693,0.79
0.5318725099601593,0.5318725099601593,0.84
0.5278884462151394,0.5278884462151394,0.89
0.5278884462151394,0.5278884462151394,0.9
0.5278884462151394,0.5278884462151394,0.91
0.5258964143426295,0.5258964143426295,0.92
0.5258964143426295,0.5258964143426295,0.93
0.5239043824701195,0.5239043824701195,0.94
0.5199203187250996,0.5199203187250996,0.95
0.5119521912350598,0.5119521912350598,0.96
0.5049900199600799,0.5049900199600799,0.97
0.498,0.498,0.98
0.458,0.458,0.99
