,address,sum,threshold
0,359,359,0.54
1,354,354,0.59
2,353,353,0.64
3,349,349,0.69
4,346,346,0.74
5,343,343,0.79
6,341,341,0.84
7,338,338,0.89
8,319,319,0.94
9,126,126,0.99
