,email,sum,threshold
0,0.9,0.9,0.54
1,0.898,0.898,0.59
2,0.896,0.896,0.64
3,0.892,0.892,0.69
4,0.886,0.886,0.74
5,0.882,0.882,0.79
6,0.874,0.874,0.84
7,0.864,0.864,0.89
