,email,sum,threshold
0,153346,153346,0.54
1,153350,153350,0.59
2,153355,153355,0.64
3,153358,153358,0.69
4,153364,153364,0.74
5,153373,153373,0.79
6,153383,153383,0.84
7,153391,153391,0.89
