,address,sum,threshold
0,175,175,0.9
1,177,177,0.91
2,178,178,0.92
3,180,180,0.93
4,187,187,0.94
5,195,195,0.95
6,202,202,0.96
7,221,221,0.97
8,257,257,0.98
