,address,sum,threshold
0,336,336,0.9
1,333,333,0.91
2,331,331,0.92
3,327,327,0.93
4,319,319,0.94
5,308,308,0.95
6,299,299,0.96
7,279,279,0.97
8,243,243,0.98
