,address,sum,threshold
0,153394,153394,0.9
1,153396,153396,0.91
2,153399,153399,0.92
3,153401,153401,0.93
4,153404,153404,0.94
5,153408,153408,0.95
6,153411,153411,0.96
7,153412,153412,0.97
8,153413,153413,0.98
