,address,sum,threshold
0,14,14,0.9
1,13,13,0.91
2,11,11,0.92
3,11,11,0.93
4,9,9,0.94
5,8,8,0.95
6,7,7,0.96
7,7,7,0.97
8,6,6,0.98
