,phone,sum,threshold
0,270,270,0.54
1,270,270,0.59
2,270,270,0.64
3,268,268,0.69
4,268,268,0.74
5,268,268,0.79
6,267,267,0.84
7,265,265,0.89
8,263,263,0.94
9,229,229,0.99
