phone,email,sum,threshold
0.0,1.0,1.0,0.55
0.0,1.0,1.0,0.6
0.0,1.0,1.0,0.65
0.0,1.0,1.0,0.7
0.0,1.0,1.0,0.75
0.0,0.0,0.0,0.8
0.0,0.0,0.0,0.85
0.0,0.0,0.0,0.9
0.0,0.0,0.0,0.91
0.0,0.0,0.0,0.92
0.0,0.0,0.0,0.93
0.0,0.0,0.0,0.94
0.0,0.0,0.0,0.95
0.0,0.0,0.0,0.96
0.0,0.0,0.0,0.97
0.0,0.0,0.0,0.98
0.0,0.0,0.0,0.99
