phone,email,sum,threshold
4.0,0.0,4.0,0.55
4.0,0.0,4.0,0.6
4.0,0.0,4.0,0.65
4.0,1.0,5.0,0.7
4.0,1.0,5.0,0.75
4.0,2.0,6.0,0.8
4.0,2.0,6.0,0.85
4.0,2.0,6.0,0.9
4.0,3.0,7.0,0.91
4.0,3.0,7.0,0.92
4.0,3.0,7.0,0.93
4.0,3.0,7.0,0.94
4.0,3.0,7.0,0.95
4.0,3.0,7.0,0.96
4.0,3.0,7.0,0.97
5.0,4.0,9.0,0.98
5.0,4.0,9.0,0.99
