email,sum,threshold
0.9090909090909091,0.9090909090909091,0.55
0.9090909090909091,0.9090909090909091,0.6
0.9090909090909091,0.9090909090909091,0.65
0.9090909090909091,0.9090909090909091,0.7
0.9090909090909091,0.9090909090909091,0.75
0.9,0.9,0.8
0.8888888888888888,0.8888888888888888,0.85
0.8888888888888888,0.8888888888888888,0.9
0.8888888888888888,0.8888888888888888,0.91
0.8888888888888888,0.8888888888888888,0.92
1.0,1.0,0.93
1.0,1.0,0.94
1.0,1.0,0.95
1.0,1.0,0.96
1.0,1.0,0.97
1.0,1.0,0.98
1.0,1.0,0.99
