phone,email,sum,threshold
99.99970874033836,99.99992718508459,99.99963592542296,0.55
99.99970874033836,99.99992718508459,99.99963592542296,0.6
99.99970874033836,99.99992718508459,99.99963592542296,0.65
99.99970874033836,99.99985437016919,99.99956311050757,0.7
99.99970874033836,99.99985437016919,99.99956311050757,0.75
99.99970874033836,99.99985437016919,99.99956311050757,0.8
99.99970874033836,99.99985437016919,99.99956311050757,0.85
99.99970874033836,99.99985437016919,99.99956311050757,0.9
99.99970874033836,99.99978155525378,99.99949029559215,0.91
99.99970874033836,99.99978155525378,99.99949029559215,0.92
99.99970874033836,99.99978155525378,99.99949029559215,0.93
99.99970874033836,99.99978155525378,99.99949029559215,0.94
99.99970874033836,99.99978155525378,99.99949029559215,0.95
99.99970874033836,99.99978155525378,99.99949029559215,0.96
99.99970874033836,99.99978155525378,99.99949029559215,0.97
99.99963592542296,99.99970874033836,99.99934466576134,0.98
99.99963592542296,99.99970874033836,99.99934466576134,0.99
