address,sum,threshold
359,359,0.54
354,354,0.59
353,353,0.64
349,349,0.69
346,346,0.74
343,343,0.79
341,341,0.84
338,338,0.89
336,336,0.9
333,333,0.91
331,331,0.92
327,327,0.93
319,319,0.94
308,308,0.95
299,299,0.96
279,279,0.97
243,243,0.98
126,126,0.99
