,address,sum,threshold
0,0.6998050682261209,0.6998050682261209,0.54
1,0.6900584795321637,0.6900584795321637,0.59
2,0.6881091617933723,0.6881091617933723,0.64
3,0.6803118908382066,0.6803118908382066,0.69
4,0.6744639376218323,0.6744639376218323,0.74
5,0.6686159844054581,0.6686159844054581,0.79
6,0.666015625,0.666015625,0.84
7,0.6614481409001957,0.6614481409001957,0.89
8,0.6575342465753424,0.6575342465753424,0.9
9,0.6529411764705882,0.6529411764705882,0.91
10,0.650294695481336,0.650294695481336,0.92
11,0.6449704142011834,0.6449704142011834,0.93
12,0.6304347826086957,0.6304347826086957,0.94
13,0.6123260437375746,0.6123260437375746,0.95
14,0.5968063872255489,0.5968063872255489,0.96
15,0.558,0.558,0.97
16,0.486,0.486,0.98
17,0.252,0.252,0.99
