,address,sum,threshold
0,153366,153366,0.54
1,153368,153368,0.59
2,153372,153372,0.64
3,153376,153376,0.69
4,153380,153380,0.74
5,153384,153384,0.79
6,153388,153388,0.84
7,153394,153394,0.89
8,153394,153394,0.9
9,153396,153396,0.91
10,153399,153399,0.92
11,153401,153401,0.93
12,153404,153404,0.94
13,153408,153408,0.95
14,153411,153411,0.96
15,153412,153412,0.97
16,153413,153413,0.98
17,153416,153416,0.99
