address,sum,threshold
154,154,0.54
159,159,0.59
160,160,0.64
164,164,0.69
167,167,0.74
170,170,0.79
171,171,0.84
173,173,0.89
175,175,0.9
177,177,0.91
178,178,0.92
180,180,0.93
187,187,0.94
195,195,0.95
202,202,0.96
221,221,0.97
257,257,0.98
374,374,0.99
