,hobby,phone,email,address,url,sum,threshold
0,19,96,178,137,22,452,0.54
1,19,95,177,136,21,448,0.59
2,19,95,176,133,21,444,0.64
3,19,93,175,133,21,441,0.69
4,18,91,173,132,21,435,0.74
5,17,90,169,131,20,427,0.79
6,15,88,165,126,20,414,0.84
7,8,86,162,121,19,396,0.89
8,5,77,148,107,16,353,0.94
9,1,46,75,2,4,128,0.99
