,hobby,phone,email,address,url,sum,threshold
0,0.15079365079365079,0.9320388349514563,0.9518716577540107,0.9716312056737588,0.7333333333333333,0.7700170357751278,0.54
1,0.1792452830188679,0.9313725490196079,0.9567567567567568,0.9714285714285714,0.75,0.7985739750445633,0.59
2,0.20430107526881722,0.9405940594059405,0.9565217391304348,0.9779411764705882,0.8076923076923077,0.8222222222222222,0.64
3,0.2345679012345679,0.9393939393939394,0.9615384615384616,0.9779411764705882,0.84,0.8432122370936902,0.69
4,0.25,0.9381443298969072,0.9719101123595506,0.9777777777777777,0.84,0.8579881656804734,0.74
5,0.288135593220339,0.9574468085106383,0.9712643678160919,0.9776119402985075,0.8695652173913043,0.8822314049586777,0.79
6,0.3125,0.9565217391304348,0.9763313609467456,0.9767441860465116,0.9090909090909091,0.9,0.84
7,0.25,0.9662921348314607,0.9938650306748467,0.9758064516129032,0.9047619047619048,0.9230769230769231,0.89
8,0.2631578947368421,0.9871794871794872,0.9932885906040269,0.9907407407407407,0.8888888888888888,0.9489247311827957,0.94
9,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.9770992366412213,0.99
