,hobby,phone,email,address,url,sum,threshold
0,0.095,0.48,0.89,0.6748768472906403,0.4230769230769231,0.5286549707602339,0.54
1,0.095,0.475,0.885,0.6699507389162561,0.40384615384615385,0.5239766081871345,0.59
2,0.095,0.475,0.88,0.6551724137931034,0.40384615384615385,0.519298245614035,0.64
3,0.095,0.465,0.875,0.6551724137931034,0.40384615384615385,0.5157894736842106,0.69
4,0.09,0.455,0.865,0.6534653465346535,0.40384615384615385,0.509367681498829,0.74
5,0.085,0.45,0.845,0.6485148514851485,0.38461538461538464,0.5,0.79
6,0.075,0.44,0.825,0.63,0.38461538461538464,0.4859154929577465,0.84
7,0.04,0.43,0.81,0.605,0.36538461538461536,0.4647887323943662,0.89
8,0.025,0.385,0.74,0.535,0.3076923076923077,0.41431924882629106,0.94
9,0.005,0.23,0.375,0.01,0.07692307692307693,0.15023474178403756,0.99
