,hobby,phone,email,address,url,sum,threshold
0,107,7,9,4,8,135,0.54
1,87,7,8,4,7,113,0.59
2,74,6,8,3,5,96,0.64
3,62,6,7,3,4,82,0.69
4,54,6,5,3,4,72,0.74
5,42,4,5,3,3,57,0.79
6,33,4,4,3,2,46,0.84
7,24,3,1,3,2,33,0.89
8,14,1,1,1,2,19,0.94
9,0,0,0,1,2,3,0.99
