,hobby,phone,email,address,url,sum,threshold
0,56,156,154,156,303,-627,0.54
1,-32,48,47,48,196,-713,0.59
2,-15,53,51,53,202,-692,0.64
3,19,75,74,75,225,-656,0.69
4,-44,4,5,5,154,-716,0.74
5,51,89,88,88,238,-618,0.79
6,138,167,167,168,317,-527,0.84
7,9,30,32,30,179,-652,0.89
8,91,104,104,104,251,-566,0.94
9,-22,-22,-22,-23,124,-677,0.99
