phone,email,address,url,hobby,sum,threshold
10,23,12,16,315,376,0.54
10,21,12,12,279,334,0.59
10,19,11,11,241,292,0.64
9,18,10,10,203,250,0.69
9,15,10,7,167,208,0.74
8,13,10,6,140,177,0.79
7,11,9,5,101,133,0.84
6,7,8,4,67,92,0.89
6,7,8,4,65,90,0.9
5,6,7,4,59,81,0.91
4,6,7,4,51,72,0.92
3,5,6,4,42,60,0.93
2,5,6,3,38,54,0.94
2,4,5,3,30,44,0.95
2,4,4,3,26,39,0.96
2,4,2,3,16,27,0.97
2,3,2,3,7,17,0.98
1,1,1,2,3,8,0.99
