email,sum,threshold
46.0,46.0,0.55
45.0,45.0,0.6
45.0,45.0,0.65
45.0,45.0,0.7
44.0,44.0,0.75
43.0,43.0,0.8
42.0,42.0,0.85
41.0,41.0,0.9
41.0,41.0,0.91
41.0,41.0,0.92
41.0,41.0,0.93
40.0,40.0,0.94
40.0,40.0,0.95
39.0,39.0,0.96
39.0,39.0,0.97
39.0,39.0,0.98
35.0,35.0,0.99
