email,sum,threshold
4.0,4.0,0.55
5.0,5.0,0.6
5.0,5.0,0.65
5.0,5.0,0.7
6.0,6.0,0.75
7.0,7.0,0.8
8.0,8.0,0.85
9.0,9.0,0.9
9.0,9.0,0.91
9.0,9.0,0.92
9.0,9.0,0.93
10.0,10.0,0.94
10.0,10.0,0.95
11.0,11.0,0.96
11.0,11.0,0.97
11.0,11.0,0.98
15.0,15.0,0.99
