email,sum,threshold
82.14285714285714,82.14285714285714,0.55
83.33333333333334,83.33333333333334,0.6
88.23529411764706,88.23529411764706,0.65
88.23529411764706,88.23529411764706,0.7
88.0,88.0,0.75
89.58333333333334,89.58333333333334,0.8
91.30434782608695,91.30434782608695,0.85
93.18181818181817,93.18181818181817,0.9
97.61904761904762,97.61904761904762,0.91
97.61904761904762,97.61904761904762,0.92
100.0,100.0,0.93
100.0,100.0,0.94
100.0,100.0,0.95
100.0,100.0,0.96
100.0,100.0,0.97
100.0,100.0,0.98
100.0,100.0,0.99
