email,sum,threshold
99.99898059118429,99.99898059118429,0.55
99.99898059118429,99.99898059118429,0.6
99.99919903593052,99.99919903593052,0.65
99.99919903593052,99.99919903593052,0.7
99.99912622101512,99.99912622101512,0.75
99.99912622101512,99.99912622101512,0.8
99.99912622101512,99.99912622101512,0.85
99.99912622101512,99.99912622101512,0.9
99.99927185084593,99.99927185084593,0.91
99.99927185084593,99.99927185084593,0.92
99.99934466576134,99.99934466576134,0.93
99.99927185084593,99.99927185084593,0.94
99.99927185084593,99.99927185084593,0.95
99.99919903593052,99.99919903593052,0.96
99.99919903593052,99.99919903593052,0.97
99.99919903593052,99.99919903593052,0.98
99.99890777626888,99.99890777626888,0.99
