email,sum,threshold
92.0,92.0,0.55
90.0,90.0,0.6
90.0,90.0,0.65
90.0,90.0,0.7
88.0,88.0,0.75
86.0,86.0,0.8
84.0,84.0,0.85
82.0,82.0,0.9
82.0,82.0,0.91
82.0,82.0,0.92
82.0,82.0,0.93
80.0,80.0,0.94
80.0,80.0,0.95
78.0,78.0,0.96
78.0,78.0,0.97
78.0,78.0,0.98
70.0,70.0,0.99
