email,sum,threshold
11.0,11.0,0.55
12.0,12.0,0.6
12.0,12.0,0.65
12.0,12.0,0.7
13.0,13.0,0.75
14.0,14.0,0.8
15.0,15.0,0.85
16.0,16.0,0.9
16.0,16.0,0.91
17.0,17.0,0.92
17.0,17.0,0.93
18.0,18.0,0.94
18.0,18.0,0.95
19.0,19.0,0.96
20.0,20.0,0.97
21.0,21.0,0.98
29.0,29.0,0.99
