email,sum,threshold
99.99788836745319,99.99788836745319,0.55
99.9979611823686,99.9979611823686,0.6
99.99817962711481,99.99817962711481,0.65
99.99817962711481,99.99817962711481,0.7
99.99817962711481,99.99817962711481,0.75
99.99817962711481,99.99817962711481,0.8
99.99832525694563,99.99832525694563,0.85
99.99832525694563,99.99832525694563,0.9
99.99847088677645,99.99847088677645,0.91
99.99839807186103,99.99839807186103,0.92
99.99847088677645,99.99847088677645,0.93
99.99839807186103,99.99839807186103,0.94
99.99847088677645,99.99847088677645,0.95
99.99839807186103,99.99839807186103,0.96
99.99847088677645,99.99847088677645,0.97
99.99839807186103,99.99839807186103,0.98
99.99781555253779,99.99781555253779,0.99
