email,sum,threshold
18.0,18.0,0.55
16.0,16.0,0.6
13.0,13.0,0.65
13.0,13.0,0.7
12.0,12.0,0.75
11.0,11.0,0.8
8.0,8.0,0.85
7.0,7.0,0.9
5.0,5.0,0.91
5.0,5.0,0.92
4.0,4.0,0.93
4.0,4.0,0.94
3.0,3.0,0.95
3.0,3.0,0.96
1.0,1.0,0.97
1.0,1.0,0.98
1.0,1.0,0.99
