email,sum,threshold
83.17757009345794,83.17757009345794,0.55
84.61538461538461,84.61538461538461,0.6
87.12871287128714,87.12871287128714,0.65
87.12871287128714,87.12871287128714,0.7
87.87878787878788,87.87878787878788,0.75
88.65979381443299,88.65979381443299,0.8
91.39784946236558,91.39784946236558,0.85
92.3076923076923,92.3076923076923,0.9
94.3820224719101,94.3820224719101,0.91
94.31818181818183,94.31818181818183,0.92
95.40229885057471,95.40229885057471,0.93
95.34883720930233,95.34883720930233,0.94
96.47058823529412,96.47058823529412,0.95
96.42857142857143,96.42857142857143,0.96
98.76543209876543,98.76543209876543,0.97
98.75,98.75,0.98
98.61111111111111,98.61111111111111,0.99
