email,sum,threshold
0.7916666666666666,0.7916666666666666,19.0
0.8260869565217391,0.8260869565217391,19.0
0.8636363636363636,0.8636363636363636,19.0
0.8636363636363636,0.8636363636363636,19.0
0.8571428571428571,0.8571428571428571,18.0
0.8947368421052632,0.8947368421052632,17.0
0.8888888888888888,0.8888888888888888,16.0
0.8888888888888888,0.8888888888888888,16.0
0.9411764705882353,0.9411764705882353,16.0
0.9411764705882353,0.9411764705882353,16.0
1.0,1.0,16.0
1.0,1.0,15.0
1.0,1.0,15.0
1.0,1.0,14.0
1.0,1.0,14.0
1.0,1.0,14.0
1.0,1.0,12.0
