email,sum,threshold
0.8636363636363636,0.8636363636363636,38.0
0.8809523809523809,0.8809523809523809,37.0
0.9024390243902439,0.9024390243902439,37.0
0.9024390243902439,0.9024390243902439,37.0
0.9,0.9,36.0
0.9210526315789473,0.9210526315789473,35.0
0.918918918918919,0.918918918918919,34.0
0.918918918918919,0.918918918918919,34.0
0.9714285714285714,0.9714285714285714,34.0
0.9714285714285714,0.9714285714285714,34.0
1.0,1.0,34.0
1.0,1.0,33.0
1.0,1.0,33.0
1.0,1.0,32.0
1.0,1.0,32.0
1.0,1.0,32.0
1.0,1.0,29.0
