email,sum,threshold
0.95,0.95,38.0
0.925,0.925,37.0
0.925,0.925,37.0
0.925,0.925,37.0
0.9,0.9,36.0
0.875,0.875,35.0
0.85,0.85,34.0
0.85,0.85,34.0
0.85,0.85,34.0
0.85,0.85,34.0
0.85,0.85,34.0
0.825,0.825,33.0
0.825,0.825,33.0
0.8,0.8,32.0
0.8,0.8,32.0
0.8,0.8,32.0
0.725,0.725,29.0
