email,sum,threshold
85.37735849056604,85.37735849056604,0.55
86.1244019138756,86.1244019138756,0.6
87.8048780487805,87.8048780487805,0.65
88.23529411764706,88.23529411764706,0.7
89.44723618090453,89.44723618090453,0.75
89.84771573604061,89.84771573604061,0.8
92.10526315789474,92.10526315789474,0.85
92.5531914893617,92.5531914893617,0.9
94.56521739130434,94.56521739130434,0.91
94.5054945054945,94.5054945054945,0.92
95.55555555555556,95.55555555555556,0.93
95.53072625698324,95.53072625698324,0.94
96.045197740113,96.045197740113,0.95
97.12643678160919,97.12643678160919,0.96
98.24561403508771,98.24561403508771,0.97
98.80952380952381,98.80952380952381,0.98
98.7012987012987,98.7012987012987,0.99
