email,sum,threshold
90.5,90.5,0.55
90.0,90.0,0.6
90.0,90.0,0.65
90.0,90.0,0.7
89.0,89.0,0.75
88.5,88.5,0.8
87.5,87.5,0.85
87.0,87.0,0.9
87.0,87.0,0.91
86.0,86.0,0.92
86.0,86.0,0.93
85.5,85.5,0.94
85.0,85.0,0.95
84.5,84.5,0.96
84.0,84.0,0.97
83.0,83.0,0.98
76.0,76.0,0.99
