email,sum,threshold
31.0,31.0,0.55
29.0,29.0,0.6
25.0,25.0,0.65
24.0,24.0,0.7
21.0,21.0,0.75
20.0,20.0,0.8
15.0,15.0,0.85
14.0,14.0,0.9
10.0,10.0,0.91
10.0,10.0,0.92
8.0,8.0,0.93
8.0,8.0,0.94
7.0,7.0,0.95
5.0,5.0,0.96
3.0,3.0,0.97
2.0,2.0,0.98
2.0,2.0,0.99
