email,sum,threshold
99.99635925422965,99.99635925422965,0.55
99.99643206914504,99.99643206914504,0.6
99.99672332880667,99.99672332880667,0.65
99.99679614372208,99.99679614372208,0.7
99.99686895863749,99.99686895863749,0.75
99.99686895863749,99.99686895863749,0.8
99.99708740338372,99.99708740338372,0.85
99.99708740338372,99.99708740338372,0.9
99.99737866304534,99.99737866304534,0.91
99.99723303321453,99.99723303321453,0.92
99.99737866304534,99.99737866304534,0.93
99.99730584812994,99.99730584812994,0.94
99.99730584812994,99.99730584812994,0.95
99.99737866304534,99.99737866304534,0.96
99.99745147796074,99.99745147796074,0.97
99.99737866304534,99.99737866304534,0.98
99.99635925422965,99.99635925422965,0.99
