,email,sum,threshold
0,431,431,0.9
1,430,430,0.91
2,426,426,0.92
3,426,426,0.93
4,423,423,0.94
5,420,420,0.95
6,418,418,0.96
7,413,413,0.97
8,408,408,0.98
9,373,373,0.99
