,email,sum,threshold
0,69,69,0.9
1,70,70,0.91
2,74,74,0.92
3,74,74,0.93
4,77,77,0.94
5,80,80,0.95
6,82,82,0.96
7,87,87,0.97
8,92,92,0.98
9,127,127,0.99
