,email,sum,threshold
0,153392,153392,0.9
1,153397,153397,0.91
2,153398,153398,0.92
3,153400,153400,0.93
4,153400,153400,0.94
5,153402,153402,0.95
6,153408,153408,0.96
7,153411,153411,0.97
8,153413,153413,0.98
9,153413,153413,0.99
