,email,sum,threshold
0,0.862,0.862,0.9
1,0.86,0.86,0.91
2,0.852,0.852,0.92
3,0.852,0.852,0.93
4,0.846,0.846,0.94
5,0.84,0.84,0.95
6,0.836,0.836,0.96
7,0.826,0.826,0.97
8,0.816,0.816,0.98
9,0.746,0.746,0.99
