,phone,email,address,url,hobby,sum,threshold
0,293,96,209,94,483,1175,0.89
1,295,102,214,94,484,1189,0.9
2,297,109,223,96,485,1210,0.91
3,300,115,233,98,487,1233,0.92
4,305,126,246,101,488,1266,0.93
5,308,140,262,104,490,1304,0.94
6,317,150,289,110,491,1357,0.95
7,324,174,332,114,492,1436,0.96
8,334,200,382,120,494,1530,0.97
9,353,247,442,128,497,1667,0.98
