,phone,email,address,url,hobby,sum,threshold
0,6,7,8,4,67,92,0.89
1,6,7,8,4,65,90,0.9
2,5,6,7,4,59,81,0.91
3,4,6,7,4,51,72,0.92
4,3,5,6,4,42,60,0.93
5,2,5,6,3,38,54,0.94
6,2,4,5,3,30,44,0.95
7,2,4,4,3,26,39,0.96
8,2,4,2,3,16,27,0.97
9,2,3,2,3,7,17,0.98
