,phone,email,address,url,hobby,sum,threshold
0,209,404,292,43,17,965,0.89
1,207,398,287,43,16,951,0.9
2,205,391,278,41,15,930,0.91
3,202,385,267,39,13,906,0.92
4,197,374,254,36,12,873,0.93
5,194,360,238,33,10,835,0.94
6,185,350,211,27,9,782,0.95
7,178,326,168,23,8,703,0.96
8,167,300,118,17,6,608,0.97
9,148,253,58,9,3,471,0.98
